date,name,close
2024-07-01,光電類指數,42.31
2024-07-01,其他電子類指數,186.2
2024-07-01,其他類指數,374.21
2024-07-01,化學生技醫療類指數,147.18
2024-07-01,化學類指數,173.67
2024-07-01,半導體類指數,617.06
2024-07-01,塑膠化工類指數,757.51
2024-07-01,塑膠類指數,168.35
2024-07-01,寶島股價指數,26215.28
2024-07-01,小型股300指數,12196.61
2024-07-01,居家生活類指數,117.56
2024-07-01,建材營造類指數,617.26
2024-07-01,數位雲端類指數,70.49
2024-07-01,未含金融指數,20244.46
2024-07-01,未含金融電子指數,16264.21
2024-07-01,未含電子指數,20512.76
2024-07-01,機電類指數,6957.63
2024-07-01,橡膠類指數,292.31
2024-07-01,水泥窯製類指數,625.93
2024-07-01,水泥類指數,163.16
2024-07-01,汽車類指數,408.81
2024-07-01,油電燃氣類指數,89.49
2024-07-01,玻璃陶瓷類指數,52.81
2024-07-01,生技醫療類指數,83.03
2024-07-01,發行量加權股價指數,23058.57
2024-07-01,紡織纖維類指數,671.39
2024-07-01,綠能環保類指數,128.87
2024-07-01,臺指反向一倍指數,2883.55
2024-07-01,臺指日報酬兩倍指數,64782.24
2024-07-01,臺灣50指數,18678.23
2024-07-01,臺灣50權重上限30%指數,16502.32
2024-07-01,臺灣中型100指數,20696.77
2024-07-01,臺灣公司治理100指數,13485.17
2024-07-01,臺灣就業99指數,13668.23
2024-07-01,臺灣發達指數,10376.33
2024-07-01,臺灣資訊科技指數,37474.08
2024-07-01,臺灣高股息指數,10125.25
2024-07-01,臺灣高薪100指數,12212.75
2024-07-01,航運類指數,195.42
2024-07-01,觀光餐旅類指數,132.76
2024-07-01,貿易百貨類指數,302.11
2024-07-01,資訊服務類指數,203.42
2024-07-01,通信網路類指數,160.05
2024-07-01,造紙類指數,340.34
2024-07-01,運動休閒類指數,94.72
2024-07-01,金融保險類指數,2018.51
2024-07-01,鋼鐵類指數,142.62
2024-07-01,電器電纜類指數,118.35
2024-07-01,電子工業類指數,1243.4
2024-07-01,電子通路類指數,280.1
2024-07-01,電子零組件類指數,239.68
2024-07-01,電子類兩倍槓桿指數,80993.93
2024-07-01,電子類反向指數,2197.2
2024-07-01,電機機械類指數,448.07
2024-07-01,電腦及週邊設備類指數,286.9
2024-07-01,食品類指數,2257.01
2024-07-02,光電類指數,42.6
2024-07-02,其他電子類指數,178.95
2024-07-02,其他類指數,373.49
2024-07-02,化學生技醫療類指數,146.06
2024-07-02,化學類指數,173.07
2024-07-02,半導體類指數,610.88
2024-07-02,塑膠化工類指數,748.32
2024-07-02,塑膠類指數,165.24
2024-07-02,寶島股價指數,26033.68
2024-07-02,小型股300指數,12182.13
2024-07-02,居家生活類指數,115.75
2024-07-02,建材營造類指數,615.17
2024-07-02,數位雲端類指數,70.18
2024-07-02,未含金融指數,20064.55
2024-07-02,未含金融電子指數,16186.36
2024-07-02,未含電子指數,20461.15
2024-07-02,機電類指數,6889.71
2024-07-02,橡膠類指數,290.79
2024-07-02,水泥窯製類指數,625.52
2024-07-02,水泥類指數,163.26
2024-07-02,汽車類指數,406.12
2024-07-02,油電燃氣類指數,87.99
2024-07-02,玻璃陶瓷類指數,52.34
2024-07-02,生技醫療類指數,82.17
2024-07-02,發行量加權股價指數,22879.37
2024-07-02,紡織纖維類指數,665.49
2024-07-02,綠能環保類指數,130.26
2024-07-02,臺指反向一倍指數,2905.96
2024-07-02,臺指日報酬兩倍指數,63775.33
2024-07-02,臺灣50指數,18487.67
2024-07-02,臺灣50權重上限30%指數,16317.23
2024-07-02,臺灣中型100指數,20583.05
2024-07-02,臺灣公司治理100指數,13352.23
2024-07-02,臺灣就業99指數,13562.63
2024-07-02,臺灣發達指數,10310.69
2024-07-02,臺灣資訊科技指數,37025.96
2024-07-02,臺灣高股息指數,10050.15
2024-07-02,臺灣高薪100指數,12108.07
2024-07-02,航運類指數,195.62
2024-07-02,觀光餐旅類指數,132.48
2024-07-02,貿易百貨類指數,302.56
2024-07-02,資訊服務類指數,205.35
2024-07-02,通信網路類指數,160.89
2024-07-02,造紙類指數,341.33
2024-07-02,運動休閒類指數,93.66
2024-07-02,金融保險類指數,2022.71
2024-07-02,鋼鐵類指數,142.18
2024-07-02,電器電纜類指數,117.18
2024-07-02,電子工業類指數,1230.84
