date,name,close
2024-07-01,Quality 50指數,9418.3
2024-07-01,TPEx FactSet半導體氣候韌性指數,8227.29
2024-07-01,TPEx FactSet氣候韌性指數,7693.98
2024-07-01,上櫃ESG 30指數,7164.13
2024-07-01,光電業,80.08
2024-07-01,其他,158.94
2024-07-01,其他電子業,275.91
2024-07-01,勞工就業88指數,207.95
2024-07-01,化學工業,158.07
2024-07-01,半導體業,138.6
2024-07-01,富櫃200指數,10840.44
2024-07-01,富櫃50指數,307.69
2024-07-01,居家生活,93.5
2024-07-01,建材營造,346.31
2024-07-01,數位雲端,94.47
2024-07-01,文化創意業,251.72
2024-07-01,櫃買公司治理指數,220.16
2024-07-01,櫃買指數,275.57
2024-07-01,櫃買薪酬指數,154.05
2024-07-01,生技醫療,210.16
2024-07-01,紡織纖維,133.94
2024-07-01,綠能環保,112.77
2024-07-01,臺灣上櫃永續指數,8245.91
2024-07-01,航運業,198.48
2024-07-01,觀光餐旅,102.84
2024-07-01,資訊服務業,218.92
2024-07-01,通信網路業,135.06
2024-07-01,鋼鐵工業,175.92
2024-07-01,電子工業,449.46
2024-07-01,電子通路業,123.86
2024-07-01,電子零組件業,136.87
2024-07-01,電機機械,224.11
2024-07-01,電腦及週邊設備業,134.43
2024-07-01,高殖利率指數,237.7
2024-07-02,Quality 50指數,9503.03
2024-07-02,TPEx FactSet半導體氣候韌性指數,8232.0
2024-07-02,TPEx FactSet氣候韌性指數,7717.2
2024-07-02,上櫃ESG 30指數,7197.89
2024-07-02,光電業,82.81
2024-07-02,其他,159.1
2024-07-02,其他電子業,275.98
2024-07-02,勞工就業88指數,209.0
2024-07-02,化學工業,158.28
2024-07-02,半導體業,138.65
2024-07-02,富櫃200指數,10877.6
2024-07-02,富櫃50指數,309.34
2024-07-02,居家生活,93.21
2024-07-02,建材營造,348.25
2024-07-02,數位雲端,94.79
2024-07-02,文化創意業,254.72
2024-07-02,櫃買公司治理指數,221.39
2024-07-02,櫃買指數,276.14
2024-07-02,櫃買薪酬指數,154.78
2024-07-02,生技醫療,208.58
2024-07-02,紡織纖維,133.2
2024-07-02,綠能環保,114.39
2024-07-02,臺灣上櫃永續指數,8294.85
2024-07-02,航運業,202.35
2024-07-02,觀光餐旅,103.0
2024-07-02,資訊服務業,219.14
2024-07-02,通信網路業,134.26
2024-07-02,鋼鐵工業,175.61
2024-07-02,電子工業,450.96
2024-07-02,電子通路業,123.3
2024-07-02,電子零組件業,136.88
2024-07-02,電機機械,223.39
2024-07-02,電腦及週邊設備業,133.48
2024-07-02,高殖利率指數,237.01
2024-07-03,Quality 50指數,9445.92
2024-07-03,TPEx FactSet半導體氣候韌性指數,8199.19
2024-07-03,TPEx FactSet氣候韌性指數,7731.1
2024-07-03,上櫃ESG 30指數,7241.89
2024-07-03,光電業,85.24
2024-07-03,其他,160.09
2024-07-03,其他電子業,280.0
2024-07-03,勞工就業88指數,208.57
2024-07-03,化學工業,159.92
2024-07-03,半導體業,138.14
2024-07-03,富櫃200指數,10891.54
2024-07-03,富櫃50指數,309.44
2024-07-03,居家生活,93.29
2024-07-03,建材營造,344.54
2024-07-03,數位雲端,95.61
2024-07-03,文化創意業,243.37
2024-07-03,櫃買公司治理指數,220.57
2024-07-03,櫃買指數,276.63
2024-07-03,櫃買薪酬指數,154.09
2024-07-03,生技醫療,207.57
2024-07-03,紡織纖維,134.44
2024-07-03,綠能環保,117.66
2024-07-03,臺灣上櫃永續指數,8325.76
2024-07-03,航運業,206.4
2024-07-03,觀光餐旅,104.26
2024-07-03,資訊服務業,222.09
2024-07-03,通信網路業,134.3
2024-07-03,鋼鐵工業,177.64
2024-07-03,電子工業,453.24
2024-07-03,電子通路業,124.4
2024-07-03,電子零組件業,137.98
2024-07-03,電機機械,224.89
2024-07-03,電腦及週邊設備業,134.29
2024-07-03,高殖利率指數,234.92
2024-07-04,Quality 50指數,9401.46
2024-07-04,TPEx FactSet半導體氣候韌性指數,8191.8
2024-07-04,TPEx FactSet氣候韌性指數,7739.06
2024-07-04,上櫃ESG 30指數,7233.96
2024-07-04,光電業,85.54
2024-07-04,其他,162.96
2024-07-04,其他電子業,285.22
2024-07-04,勞工就業88指數,208.7
2024-07-04,化學工業,162.65
2024-07-04,半導體業,138.36
2024-07-04,富櫃200指數,10901.11
2024-07-04,富櫃50指數,310.02
2024-07-04,居家生活,93.38
2024-07-04,建材營造,344.46
2024-07-04,數位雲端,95.6
2024-07-04,文化創意業,243.64
2024-07-04,櫃買公司治理指數,221.49
2024-07-04,櫃買指數,277.31
2024-07-04,櫃買薪酬指數,153.74
2024-07-04,生技醫療,206.26
2024-07-04,紡織纖維,134.18
2024-07-04,綠能環保,117.03
2024-07-04,臺灣上櫃永續指數,8343.8
2024-07-04,航運業,204.26
2024-07-04,觀光餐旅,104.59
2024-07-04,資訊服務業,218.53
2024-07-04,通信網路業,135.73
2024-07-04,鋼鐵工業,177.7
2024-07-04,電子工業,454.99
2024-07-04,電子通路業,123.83
